epoch	time	lr	trainloss	trainacc	testloss	testacc
0	57.1	0.001	0.599	65.0	0.481	75.4
1	55.5	0.001	0.417	79.5	0.378	82.2
2	50.3	0.001	0.329	85.4	0.341	84.6
3	51.4	0.001	0.271	88.3	0.272	88.1
4	49.8	0.001	0.232	90.3	0.255	89.5
5	48.3	0.001	0.203	91.6	0.219	90.8
6	48.9	0.001	0.182	92.6	0.42	83.3
7	48.8	0.001	0.166	93.3	0.202	92.1
8	48.8	0.001	0.155	93.7	0.209	91.7
9	49.1	0.001	0.142	94.3	0.236	90.9
