epoch	time	lr	trainloss	trainacc	testloss	testacc
0	3.25e+02	0.001	0.228	91.1	0.0947	96.9
1	1.69e+02	0.001	0.0738	97.6	0.0596	98.0
2	1.64e+02	0.001	0.0496	98.4	0.0488	98.4
3	1.67e+02	0.001	0.0418	98.5	0.0459	98.4
4	1.64e+02	0.001	0.0355	98.8	0.0449	98.5
5	1.66e+02	0.001	0.0324	98.9	0.041	98.6
6	1.63e+02	0.001	0.0267	99.2	0.0382	98.8
7	1.52e+02	0.001	0.0326	98.9	0.0385	98.8
8	1.56e+02	0.001	0.0233	99.2	0.0382	98.8
9	1.51e+02	0.001	0.0251	99.1	0.0406	98.7
