epoch	time	lr	trainloss	trainacc	testloss	testacc
0	57.3	0.001	0.404	80.3	0.205	92.0
1	53.5	0.001	0.174	93.2	0.171	92.9
2	53.9	0.001	0.135	94.8	0.149	94.2
3	53.5	0.001	0.117	95.3	0.126	95.1
4	53.4	0.001	0.103	95.8	0.132	95.2
5	54.0	0.001	0.094	96.2	0.113	95.7
6	54.0	0.001	0.0845	96.5	0.124	95.2
7	52.1	0.001	0.0782	96.7	0.113	95.5
8	51.8	0.001	0.0745	96.8	0.137	94.3
9	52.8	0.001	0.0682	97.2	0.116	95.5
